Ångra dagar,2023,16m,G,"Zacharias is a recovering drug addict. The departure of his older sister finds him losing his one point of anchorage. Destabilized, recently sober; he's lost his footing, and something is liable to happen. There's nothing between him and the rest of the world - oversensitive - he's naked to the air. He can't want what he wants. He must be on his guard. He changes traj... Read all","https://m.media-amazon.com/images/M/MV5BMGM2YjE2NDktNmU4Yi00ZmI4LWE4NzQtZDk3Y2RmMGUzNjVhXkEyXkFqcGdeQXVyNjYyMTczNzA@._V1_QL75_UY281_CR4,0,190,281_.jpg",Yousra Said,"Amina Avdic,Isac Calmroth,Egon Ebbersten",Drama,0
My Kind of Girl,2023,1h 46m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BMGZjMWFlMzItM2YzMC00NzQ0LWI1ZGMtN2U0MjBlOTAwYjUyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_QL75_UY281_CR46,0,190,281_.jpg",Onyeka Ezejiofor,"Vincent Amavis,Chidi Dike,Perfect Ezeonodo,Ngara Freedom,Bliss Thelma Joseph,Ify Okafor,Benita Onyiuke,King Donald Ukagwu",Romance,0
The 4th Quarter: Legacy,2023,2h 35m,G,"Aging quarterback, Dallas Hughes, returns to the game in a make or break season, after failing to lead his team to the playoffs and the team has drafted his replacement.","https://m.media-amazon.com/images/M/MV5BYjYzNThmZWQtNjVlYy00ZTE5LWFhYWYtM2VhYzc2ZGYwNGUwXkEyXkFqcGdeQXVyODE4NjAwNTM@._V1_QL75_UY281_CR4,0,190,281_.jpg",Rodney Jackson,"Tavares M. Wilson,Tai Anderson,Alphonso A'Qen-Aten Jackson,McDaniel Austin,Stevie Baggs Jr.,Jacky Oh,Vitelle Webb,Spencer Mumford,T.L. Lewis,Erica Sutherland,Troy Bland,Stanley Douglas,Anthony Velvet Hall,André Lamar,Corey Jones,Brooke Foster,Toby Price,Jerome Skinner",Drama,0
Juliet,2023,59m,G,"Amidst dark comedy and unexpected plot twists, the trio finds themselves caught in a web of deception, secrets, and unrequited love, culminating in a suspenseful climax. they become catalysts for a series of chaotic events.","https://m.media-amazon.com/images/M/MV5BODQyYmFjYTItY2U1OC00MmJhLTgyZGUtNTAxYTNiMDU2ZmRmXkEyXkFqcGdeQXVyMTYwMzYxNjU0._V1_QL75_UY281_CR46,0,190,281_.jpg",Aaqib Khan,"Sonia Minotra,Prakash Yaduvanshi,Aaqib Khan,Danish Aneja,Simran Sharma,Jatin Yaduvanshi",Thriller,0
Fortunate Sons,2023,2h 35m,G,"After a year of dodging the draft at separate colleges, four boys reunite in their hometown during spring break for a chaotic night that may be their last.","https://m.media-amazon.com/images/M/MV5BOTkyN2U1ODgtYjkyMi00YmQ0LTlhODctZTE5Y2Q2Mjk2NGVmXkEyXkFqcGdeQXVyNjgxMDYxNzI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Aiden Smith,"Nick Bonfiglio,Bryson Roman,Aidan Patrick Griffin,Christian Phelps,Emi Curia,Luke LeBrun,Brian Dedora,Ella Sweet,Chris Sheinhartz,Thomas Kohlbrenner,Joseph Kbuor,Jacob Scruggs,Craig Smith,Patrick Smith,James Knowles","Adventure,Comedy,Drama",0
Barranco do Inferno,2023,1h 15m,G,"A Portuguese glam rock band, doomed to fail, decides to change the course of its career and shoot a music video in the desert. But things start to go wrong in the middle of nowhere.","https://m.media-amazon.com/images/M/MV5BOTc0Mjg0NmItZGQ0Mi00ZTkxLWExMjktNDY5MjA3Y2JkYjcxXkEyXkFqcGdeQXVyMTY1NTU3NzA4._V1_QL75_UY281_CR6,0,190,281_.jpg",Fábio Duque Francisco,"Pedro Ferreira,Guilherme Galhardo,Miguel Lambertini,Gonçalo Mendes,Quimbé,Elmano Sancho,Carolina Torres,João Vilas",Drama,0
A Pumpkin Spice Holiday,2023,2h 35m,G,"Gracie is excited that her father is coming home from military duty, but when the bank plans to foreclose on their land, Gracie races against time to find her lost horse, Pumpkin Spice, and save her family's farm.","https://m.media-amazon.com/images/M/MV5BM2Y5NGIxYzMtZDY0Ny00ZDI4LTk3OGMtMDk5NjNmZGNhMjQ0XkEyXkFqcGdeQXVyMTk4MjM2NjI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Caleb Silvers,"Riley Rose Downey,Glenn Dossin,Kevin Ridsdale,Madison Merlanti,Jennifer L. Warner,Sammy Herrick,Calvin Kassab,Jerry Narsh,Dani Parker,Kathy Reinhold,Caleb Silvers,Christopher Steffes,Sylvia Thomas","Family,Romance",0
Zwischen uns die Nacht,2023,1h 45m,G,"Marie can't come to terms with her role as a young mother. She lives with her five-year-old son Lenny in a caravan and keeps up with an odd job over water. When she meets showman's assistant Erich, she is fascinated by him. When he and his charismatic colleague Haro immerses them with the brightly colored world of the fair, they go on the hunt for an intense life. Mar... Read all","https://m.media-amazon.com/images/M/MV5BOTMxMzE3ZGQtYTY5MS00N2IyLTliZTItYzM3NzI3M2MwNTE4XkEyXkFqcGdeQXVyMTM4ODMyMzQ0._V1_QL75_UY281_CR4,0,190,281_.jpg",Abini Gold,"Laura Balzer,Aaron Altaras,Paul Boche,Daan Bremmer,Bea Brocks,Tilla Kratochwil,Veit Stübner,Rainer Reiners,Heinz Wanitschek,Leon Hoge,Ragna Pitoll,Thomas Schrimm,Jannik Mühlenweg,Helge van Hove,Torsten Heinrich,Christiane Dollmann,Markus Trott",Romance,0
Coming Home (Wanna Icipus Kupi),2023,2h 35m,G,"Coming Home (Wanna Icipus Kupi) reveals impacts of the Sixties Scoop, Indigenous resilience and narrative sovereignty.","https://m.media-amazon.com/images/M/MV5BNGVhYTg0YTMtNDAyOC00ODBjLTliZDMtNmIwYjQzZGI0ZDVmXkEyXkFqcGdeQXVyNjUwMTQyODk@._V1_QL75_UX190_CR0,2,190,281_.jpg",Erica Marie Daniels,"Sharon Anaquod,Harold Blacksmith,Chief Gordon Bluesky,Chief Jennifer Bone,Tanya Brunel,Imajyn Cardinal,Mary Chief,Darla Contois,Charity Gadica,Brenda Greyeyes,Walter Greyeyes,Samuel Hapa,Keris Hope Hill,Zoe Leigh Hopkins,Ellyn Jade,Mistatim,Hannah Moscovitch,Reil Munro",Documentary,0
1971 Shei Shob Din,2023,2h 22m,G,"The film revolves around a family's experiences during 1971, providing a poignant portrayal of the era.","https://m.media-amazon.com/images/M/MV5BNzUxMzUzZGEtZWQxMC00MWRiLWI1ODYtOTMwZjQzZDY4Y2RkXkEyXkFqcGdeQXVyOTc5MjUzNjg@._V1_QL75_UY281_CR11,0,190,281_.jpg",Hridi Haq,"Ferdous Ahmed,Anisur Rahman Milon,Litu Anam,Abdun Noor Shajal,Tanjika Amin,Jayanto Chattopadhyay,Lucky Enam,Hridi Haq,Abul Hayat,Sanjida Preeti,Mamunur Rashid,Sohidul Islam Sajid,Sara Zaker","Drama,War",0
Jesse's Gift,2023,1h 45m,Not Rated,A washed up musician on the brink of losing everything finds new hope through the gift of a dying father.,"https://m.media-amazon.com/images/M/MV5BMWE0Yzk0NTQtZjNhYy00NTJkLTllNzAtNzhmOTA0NmNmMmY3XkEyXkFqcGdeQXVyNDMwMTYyMjc@._V1_QL75_UY281_CR5,0,190,281_.jpg",Gabe Merritt,"Michael Merritt,Jessica Wilson Montgomery,Chiara Roberts,Ed Force,Gabe Merritt,Beau Thompson,Adam Blank,Joel Thaddeus Braggs,Henry Cambron,Brad Cohen,Jonathon Crowell,Michele Merritt Crowell,Christopher De Marco,Eddie Dobbs,Christopher Fisher,Bruce Fogleman,Yvette Furtch,Branden Greenberg",Drama,0
