Dublê de Namorado,2024,1h 35m,G,"""In this retro comedy, university biology student Renan, despite being madly in love with his girlfriend Taís, still desires other women. His friend Moita, an impetuous bachelor, has the theory that people should live two parallel lives: a single life, where Renan could meet and hook up with all the cool girls in the world; and a conjugal life, in which he could enjoy... Read all","https://m.media-amazon.com/images/M/MV5BN2FmOThmNzQtMTVlNC00OTMzLWEwYzYtODg0MmNhMDE1MzU3XkEyXkFqcGdeQXVyMzg1NDk4NjI@._V1_QL75_UX190_CR0,2,190,281_.jpg",Christopher Faust,"Gustavo Piaskoski,Mia Bueno,Giovanna Negrelli,Daniel Del Sarto,Manuella Prestes,Pedro Ramires,Ramon Ramos,Christopher Faust,Mariana Venâncio,Pedro Vilo","Comedy,Sci-Fi",0
Passing Through,2024,1h 31m,G,"A 'abandoned' desert town attracts artists and outcasts from all over the world. Bombay Beach is a harsh environment and no stranger to death, but despite all odds the town is kept alive and thriving through the power of community and art.","https://m.media-amazon.com/images/M/MV5BMDIwMjgyODktOWQ3YS00M2I2LWEzOWEtZTJhOGY5YzkyMGFmXkEyXkFqcGdeQXVyMzU4NzU3MDE@._V1_QL75_UX190_CR0,28,190,281_.jpg",Sarah Remetch Ingram,Dadaonysus,Documentary,0
The White Blood,2024,1h 45m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BZTkzMTllZmEtYjRiYy00NTY0LTg3MzAtNGNlMjQwNDA0N2ZmXkEyXkFqcGdeQXVyMTUzNDcyNDgy._V1_QL75_UX190_CR0,2,190,281_.jpg",Anzor Alem,"Anzor Alem,Amour Lombi,Moyindo Mpongo,Hénoc Kiyombo,Serge Kanyinda",,0
Luo Hua Dong Xin Niang,2024,2h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BNGZmYjdiNDYtZWQ3MS00MDUzLWFlNmMtNThhZWE3NTk4NjU0XkEyXkFqcGdeQXVyNzg5NTE1MzE@._V1_QL75_UX190_CR0,5,190,281_.jpg",Hanjin Ni,"Hanjin Ni,Xuehai Ren,Minxin Zhu",Mystery,0
Nodigalal Naam Karaiya,2024,2h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BNjM4ZjcyYzQtMWU5OC00MzkyLTljZDktOTc2YzUzZjM0ZTQ0XkEyXkFqcGdeQXVyMTIxOTM4NDQx._V1_QL75_UX190_CR0,0,190,281_.jpg",Yashwanth Sugumaran,"Mohamed Alfiaz,Mrudula,Nithesh Ramesh",,0
Wu Ye Guai Tan,2024,2h 35m,G,"Unfortunately, there is no information available about this movie at the moment.","https://m.media-amazon.com/images/M/MV5BM2Y4NWQwMmEtMmM4YS00OGViLTljNjMtMDlhMjQ3N2YyZTkzXkEyXkFqcGdeQXVyNzg5NTE1MzE@._V1_QL75_UY281_CR6,0,190,281_.jpg",Haoyu Ren,"Haoyu Ren,Zhiyuan Yao,Le-er You,Keran Yu",Thriller,0
The Reflected Self,2024,1h 55m,G,"Dion awakes in a different reality. His existence is thrown into uncertainty as he begins to transcend between a real and projected world within his own mind, a projection that was created to mask the events of his traumatic past.","https://m.media-amazon.com/images/M/MV5BNGY1MWE2YzYtNTJhYi00MDNlLTg2MDctYTk0MWI4N2NiMTIzXkEyXkFqcGdeQXVyNTMwNDczMzI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Kelvin Richards,"Daisie Boyes,Marielle Clare,Barney Jones,Robert Tovey,Irene Wilson",Thriller,0
World War World,2024,1h 11m,G,Steve finds himself in over his head when a simple therapy session leads to an adventure to a world at war with itself.,"https://m.media-amazon.com/images/M/MV5BNGI0ZDQxMTQtYTA5NC00NjFjLWI0OTEtNWFkODcwNTQwYzQwXkEyXkFqcGdeQXVyNzYxMDQ1Nw@@._V1_QL75_UY281_CR5,0,190,281_.jpg",Jack Wheeler,"Patrick Callahan,John Esposito,Peter Foy,John Khinda,Steven Magee,Lyrian Morrison,Victoria Ng,Antonio Perez-Reynoso,Jamie Stein,Jack Wheeler,Robert Youngren",Comedy,0
En la Sala,2024,45m,G,"Join American rock band Making Movies on the stage of the Historic Folly Theater in Kansas City as they record their first ever live album. Described by NPR as ""perhaps one of the most unique groups around today,"" Making Movies performs all-new arrangements of songs from their latest album XOPA. Featuring Grammy Award-Winning musician Asdru Sierra of Ozomatli, ""En la ... Read all","https://m.media-amazon.com/images/M/MV5BMzg2ZmZiMTktZTZiMS00ODQ3LWJkNzQtOGVlMTQxMjJlNGVjXkEyXkFqcGdeQXVyMjcwNjkyNjQ@._V1_QL75_UX190_CR0,0,190,281_.jpg",William J. Stribling,"Duncan Burnett,Juan-Carlos Chaurand,Diego Chi,Enrique Chi,Ryan Heinlein,Asdru Sierra,Trevor Turla",Music,0
The Soul That Ties Us,2024,2h 35m,G,"Kendall experiences supernatural events and sounds that are connected to events in her life as well as events of the past, in order to find out why and how these events are happening she must first find out when and where they started. Her friendship with Victor leads her down a rabbit hole of events that will have her questioning everyone and everything she encounter... Read all","https://m.media-amazon.com/images/M/MV5BMmFiNzEzNmYtNjUyNy00NTlhLTgwMWItZDg5ZDNiMzcyZWI5XkEyXkFqcGdeQXVyMTAzNDY5MTMy._V1_QL75_UX190_CR0,2,190,281_.jpg",Malachi Johnson,"Crystal,Andrè Robert Brown Jr.,Emanuel Gallmon,Jehnean Washington,Telisha L. Davis,Mozella Place,Brucellious Morris Jr.,Tobenna Okoro,Katrina Wilkerson,Kaia Celine,Tim Hughes,Kenzi Gad,Karma Gad,Damari Massenburg,Sharrie McCain,Remy Tyndle,Rasease Savery,Raven Gooden","Drama,Thriller",0
